sku_id,brand,category,product,sku_ref,original_url,declared_image_url,product_page_url,final_image_url,status,local_path,sha256,failure_reason,classification_note,source_link_type,attempted_urls
SKU0287,Miu Miu,Knitwear,V-neck wool cardigan,MML08K_6600_F0399_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0399/MML08K_6600_F0399_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0399/MML08K_6600_F0399_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/v-neck-wool-cardigan/MML08K_6600_F0399_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0399/MML08K_6600_F0399_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0287_1cc236ebd97b.jpg,1cc236ebd97b1ce1389a6da27c40590e1c34e3db2a601e5347abaa1944d07da0,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0399/MML08K_6600_F0399_S_OOO_SLF.jpg""]"
SKU0288,Miu Miu,Knitwear,V-neck wool cardigan,MML08K_6600_F0480_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0480/MML08K_6600_F0480_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0480/MML08K_6600_F0480_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/v-neck-wool-cardigan/MML08K_6600_F0480_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0480/MML08K_6600_F0480_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0288_4f61a8653922.jpg,4f61a8653922e56912451a6dde96eda0be12f29fbd6ef9ad2b32fe1fc26d4ed2,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML08K/6600F0480/MML08K_6600_F0480_S_OOO_SLF.jpg""]"
SKU0289,Miu Miu,Knitwear,Wool cardigan,MMF04H_6609_F0V96_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF04H/6609F0V96/MMF04H_6609_F0V96_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF04H/6609F0V96/MMF04H_6609_F0V96_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/wool-cardigan/MMF04H_6609_F0V96_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF04H/6609F0V96/MMF04H_6609_F0V96_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0289_d84985370be9.jpg,d84985370be90e632d6b652c73c0f9babc48b989b9cffa1f65369940c6bf71b2,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF04H/6609F0V96/MMF04H_6609_F0V96_S_OOO_SLF.jpg""]"
SKU0290,Miu Miu,Knitwear,Wool vest,MMV520_6609_F0061_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV520/6609F0061/MMV520_6609_F0061_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV520/6609F0061/MMV520_6609_F0061_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/wool-vest/MMV520_6609_F0061_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV520/6609F0061/MMV520_6609_F0061_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0290_3f49ee4f595c.jpg,3f49ee4f595ce4ac5cb89448297b84b9fedcf9bf50d72689bf6f8d90977f4f2b,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV520/6609F0061/MMV520_6609_F0061_S_OOO_SLF.jpg""]"
SKU0291,Miu Miu,Dress,Cotton and lace dress,MMA937_195P_F0009_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMA/MMA937/195PF0009/MMA937_195P_F0009_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMA/MMA937/195PF0009/MMA937_195P_F0009_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-and-lace-dress/MMA937_195P_F0009_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMA/MMA937/195PF0009/MMA937_195P_F0009_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Dress\SKU0291_9301703092b6.jpg,9301703092b6dc27c9efac278f286968d81657bf338747ad67a4eec8b089489f,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMA/MMA937/195PF0009/MMA937_195P_F0009_S_OOO_SLF.jpg""]"
SKU0292,Miu Miu,Top,Cotton and lace top,MMV344_195P_F0009_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV344/195PF0009/MMV344_195P_F0009_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV344/195PF0009/MMV344_195P_F0009_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-and-lace-top/MMV344_195P_F0009_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV344/195PF0009/MMV344_195P_F0009_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Top\SKU0292_44a87b18a044.jpg,44a87b18a04445c33081b17ba8ca5e0c63bfd70791f9c37785cf32fc4ba89ccb,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV344/195PF0009/MMV344_195P_F0009_S_OOO_SLF.jpg""]"
SKU0293,Miu Miu,Knitwear,Cotton knit top,MMV306_18IL_F0324_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0324/MMV306_18IL_F0324_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0324/MMV306_18IL_F0324_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-knit-top/MMV306_18IL_F0324_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0324/MMV306_18IL_F0324_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0293_706da46d70d5.jpg,706da46d70d59b16f08467ca6eb11e60abfb855c73d1d2e4f88c670007126226,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0324/MMV306_18IL_F0324_S_OOO_SLF.jpg""]"
SKU0294,Miu Miu,Knitwear,Cotton knit top,MMV306_18IL_F0M10_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0M10/MMV306_18IL_F0M10_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0M10/MMV306_18IL_F0M10_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-knit-top/MMV306_18IL_F0M10_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0M10/MMV306_18IL_F0M10_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0294_523b21a6daef.jpg,523b21a6daefff8ca3ea1ec09d2ac1e1fd6d757bec301fa521a91490788142f0,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0M10/MMV306_18IL_F0M10_S_OOO_SLF.jpg""]"
SKU0295,Miu Miu,Knitwear,Cotton knit top,MMV306_18IL_F0AL2_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0AL2/MMV306_18IL_F0AL2_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0AL2/MMV306_18IL_F0AL2_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-knit-top/MMV306_18IL_F0AL2_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0AL2/MMV306_18IL_F0AL2_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0295_b9da6a43fdcf.jpg,b9da6a43fdcf09dace896da025d95019be9ef6c23bc7fea0c4ac7454e8c39284,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0AL2/MMV306_18IL_F0AL2_S_OOO_SLF.jpg""]"
SKU0296,Miu Miu,Knitwear,Cotton knit top,MMV306_18IL_F0011_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0011/MMV306_18IL_F0011_S_OOO_SLF.jpg,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0011/MMV306_18IL_F0011_S_OOO_SLF.jpg,https://www.miumiu.com/us/en/p/cotton-knit-top/MMV306_18IL_F0011_S_OOO,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0011/MMV306_18IL_F0011_S_OOO_SLF.jpg,downloaded,data\luxury-image-library\images\Miu Miu\Knitwear\SKU0296_a753b77940e2.jpg,a753b77940e2b881d5d32cf150ff491491fe7ec745f620cfa7af8b572abba97e,,,官方DAM主图直链,"[""https://www.miumiu.com/content/dam/miumiubkg_products/M/MMV/MMV306/18ILF0011/MMV306_18IL_F0011_S_OOO_SLF.jpg""]"
